last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_ab_scoring,b_ball,b_called_strike,b_catcher_interf,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Smith, Dominic,642086,2021,26,319,357,80,56,13,0,11,81,27,22.7,7.6,.251,.395,.322,.717,1,2,105,440,184,0,.269,.431,.312,.340,.340,.163,.364,.405,88.9,14.2,41.4,7,
Rosario, Amed,642708,2021,26,345,368,90,69,12,4,5,76,19,20.7,5.2,.261,.362,.304,.667,0,9,82,409,268,0,.265,.357,.292,.299,.310,.092,.342,.351,87.9,5.5,32.6,2.2,
Adames, Willy,642715,2021,26,347,388,90,50,23,1,16,112,41,28.9,10.6,.259,.470,.338,.807,4,3,108,534,215,0,.234,.430,.348,.326,.315,.196,.454,.417,89.3,16.2,34.9,11.9,
Kiner-Falefa, Isiah,643396,2021,26,403,428,104,79,17,2,6,66,14,15.4,3.3,.258,.355,.294,.649,2,15,84,436,285,0,.256,.342,.284,.283,.294,.086,.313,.312,85.9,3.6,29.4,2.1,
Albies, Ozzie,645277,2021,24,391,431,102,51,30,5,16,77,34,17.9,7.9,.261,.486,.323,.808,2,13,106,550,122,0,.256,.454,.345,.333,.317,.198,.391,.375,89.4,22.5,38.6,9.7,
Devers, Rafael,646240,2021,25,370,417,106,50,28,1,27,97,38,23.3,9.1,.286,.586,.357,.944,5,3,138,500,150,0,.284,.581,.393,.399,.359,.297,.488,.497,92.7,11.4,35,17.7,
Urias, Luis,649966,2021,24,325,377,77,45,18,1,13,84,42,22.3,11.1,.237,.418,.332,.750,1,5,89,483,254,1,.232,.408,.326,.323,.329,.175,.370,.365,87.8,13,34.8,8.6,
Torres, Gleyber,650402,2021,25,322,367,80,61,13,0,6,75,40,20.4,10.9,.248,.345,.330,.674,3,10,91,530,220,0,.254,.404,.303,.329,.337,.150,.330,.367,86.7,13.2,38.2,7.2,
Diaz, Yandy,650490,2021,30,304,361,77,59,11,1,6,54,54,15.0,15.0,.253,.355,.368,.724,0,0,78,553,254,0,.242,.354,.326,.324,.359,.111,.317,.314,89.4,5.6,27.1,5.2,
Chapman, Matt,656305,2021,28,357,416,78,51,11,3,13,132,48,31.7,11.5,.218,.375,.310,.685,0,2,104,630,321,0,.207,.375,.301,.300,.302,.167,.385,.384,89.6,18.2,32.2,10.7,
Hoskins, Rhys,656555,2021,28,367,419,88,38,27,0,23,104,46,24.8,11.0,.240,.501,.329,.831,2,3,118,629,318,0,.243,.530,.354,.367,.332,.288,.429,.449,90.9,21.2,35.5,15.5,
Mullins II, Cedric,656775,2021,27,383,428,122,73,28,4,17,79,36,18.5,8.4,.319,.546,.381,.927,7,17,66,575,292,1,.282,.448,.394,.351,.351,.166,.456,.397,89.7,14.3,38.4,7.5,
Smith, Pavin,656976,2021,25,346,379,93,61,20,3,9,70,30,18.5,7.9,.269,.422,.330,.752,0,1,80,496,303,0,.271,.435,.326,.337,.334,.164,.367,.382,86.8,8,35,6.1,
Verdugo, Alex,657077,2021,25,362,402,100,69,20,1,10,55,35,13.7,8.7,.276,.420,.343,.763,1,5,85,553,304,0,.288,.446,.332,.349,.354,.158,.348,.370,90.1,6.9,34.6,5.8,
Laureano, Ramon,657656,2021,27,323,357,79,46,17,2,14,89,25,24.9,7.0,.245,.440,.314,.753,5,11,88,441,248,0,.241,.452,.326,.332,.310,.211,.397,.406,88.1,12.2,36.6,10.6,
Moncada, Yoan,660162,2021,26,325,390,86,58,19,1,8,101,58,25.9,14.9,.265,.403,.382,.785,2,2,101,649,296,0,.264,.422,.350,.359,.382,.158,.410,.426,90.5,10.8,40.3,9.3,
Ohtani, Shohei,660271,2021,27,344,396,96,33,22,4,37,120,48,30.3,12.1,.279,.689,.371,1.060,5,15,96,581,224,0,.283,.677,.433,.438,.377,.394,.612,.620,93.9,18.1,38.7,26.2,
Acuna Jr., Ronald,660670,2021,24,293,355,83,39,19,1,24,83,48,23.4,13.5,.283,.601,.394,.995,6,17,73,562,212,0,.291,.593,.414,.427,.405,.303,.503,.524,93.8,18.2,39.6,20.3,
Riley, Austin,663586,2021,24,356,412,103,63,18,1,21,101,42,24.5,10.2,.289,.522,.371,.894,1,0,112,562,221,0,.276,.510,.378,.372,.358,.234,.467,.459,90,12.8,34.6,12.5,
Mountcastle, Ryan,663624,2021,24,342,373,84,51,16,1,16,105,23,28.2,6.2,.246,.439,.295,.734,2,4,108,428,174,0,.234,.415,.313,.307,.288,.181,.409,.401,88.5,15.1,38.8,9.5,
Tucker, Kyle,663656,2021,24,340,374,94,50,23,1,20,60,28,16.0,7.5,.276,.526,.329,.855,1,9,112,506,151,1,.310,.580,.360,.400,.363,.270,.404,.457,91.6,17.7,41.5,12,
India, Jonathan,663697,2021,25,309,378,85,61,14,2,8,84,49,22.2,13.0,.275,.411,.397,.808,3,7,83,589,311,0,.247,.397,.360,.349,.376,.149,.397,.378,87.5,10.2,30.1,8.7,
Lowe, Nathaniel,663993,2021,26,350,411,88,63,11,2,12,108,57,26.3,13.9,.251,.397,.358,.755,0,5,96,644,295,0,.235,.410,.335,.335,.344,.175,.396,.396,91.7,7.3,32,10.2,
France, Ty,664034,2021,27,342,390,95,64,22,0,9,65,27,16.7,6.9,.278,.421,.356,.777,0,0,98,434,164,0,.253,.393,.340,.328,.339,.140,.363,.346,88,11.9,34.2,7.1,
Lowe, Brandon,664040,2021,27,330,387,74,37,15,0,22,117,48,30.2,12.4,.224,.470,.336,.806,1,4,102,519,180,0,.229,.485,.346,.356,.341,.255,.448,.466,89.7,16.5,34.6,15.4,
Fletcher, David,664058,2021,27,390,414,119,95,21,1,2,40,16,9.7,3.9,.305,.379,.329,.708,1,5,92,392,306,0,.273,.321,.311,.280,.303,.048,.329,.293,82.5,7.8,30.8,0,
Straw, Myles,664702,2021,27,325,370,85,69,13,1,2,71,38,19.2,10.3,.262,.326,.338,.664,5,17,100,515,331,0,.240,.306,.299,.288,.321,.066,.321,.304,86.8,10.7,40.5,1.5,
Bohm, Alec,664761,2021,25,318,349,79,60,12,0,7,91,26,26.1,7.4,.248,.352,.304,.656,0,4,98,480,201,0,.265,.394,.289,.316,.320,.130,.355,.396,92.2,5.2,34.2,6.5,
Walsh, Jared,665120,2021,28,364,394,97,51,23,1,22,109,26,27.7,6.6,.266,.516,.320,.836,1,2,101,470,238,0,.260,.446,.352,.328,.314,.186,.468,.431,90.2,7.8,34.4,13.3,
Tatis Jr., Fernando,665487,2021,22,316,364,91,40,20,0,31,104,44,28.6,12.1,.288,.646,.371,1.016,3,23,85,518,128,0,.283,.629,.419,.415,.367,.347,.569,.562,93.7,13,33.8,21.8,
Guerrero Jr., Vladimir,665489,2021,22,360,424,118,65,19,1,33,73,58,17.2,13.7,.328,.661,.425,1.086,1,2,117,581,207,0,.312,.611,.451,.432,.412,.300,.517,.489,95.2,8.9,36.7,16.3,
Soto, Juan,665742,2021,23,318,391,96,66,11,1,18,59,71,15.1,18.2,.302,.513,.427,.940,6,6,96,643,313,0,.310,.546,.402,.422,.435,.236,.421,.451,92.9,5.1,27.6,11.9,
